num_vertices,edge_percentage,num_edges,k_percentage,k,vertex_cover,is_vertex_cover,num_operations,num_solutions_tested,time
4,12.5,0,75.0,3,,False,0,1,0.0
4,25.0,1,75.0,3,,False,3,1,0.0
4,50.0,3,75.0,3,,False,7,1,0.0
4,75.0,4,75.0,3,,False,8,1,0.0
5,12.5,1,75.0,3,,False,3,1,0.0
5,25.0,2,75.0,3,,False,6,1,0.0
5,50.0,5,75.0,3,"{0, 1, 2}",True,11,1,0.0
5,75.0,7,75.0,3,"{0, 1, 2}",True,13,1,0.0
6,12.5,1,75.0,4,,False,3,1,0.0
6,25.0,3,75.0,4,,False,7,1,0.0010001659393310547
6,50.0,7,75.0,4,,False,13,1,0.0
6,75.0,11,75.0,4,"{0, 1, 2, 5}",True,19,1,0.0
7,12.5,2,75.0,5,,False,6,1,0.0
7,25.0,5,75.0,5,,False,11,1,0.0
7,50.0,10,75.0,5,,False,18,1,0.0
7,75.0,15,75.0,5,"{1, 2, 3, 4, 5}",True,25,1,0.0
8,12.5,3,75.0,6,,False,7,1,0.0
8,25.0,7,75.0,6,,False,15,1,0.0
8,50.0,14,75.0,6,,False,49,2,0.0
8,75.0,21,75.0,6,"{1, 3, 4, 5, 6, 7}",True,33,1,0.001009225845336914
9,12.5,4,75.0,6,,False,10,1,0.0
9,25.0,9,75.0,6,,False,19,1,0.0
9,50.0,18,75.0,6,"{1, 2, 3, 5, 6, 8}",True,30,1,0.0
9,75.0,27,75.0,6,,False,370552,10000,1.6967360973358154
10,12.5,5,75.0,7,,False,13,1,0.0015106201171875
10,25.0,11,75.0,7,,False,23,1,0.0
10,50.0,22,75.0,7,"{0, 2, 3, 4, 7, 8, 9}",True,36,1,0.0
10,75.0,33,75.0,7,"{0, 2, 3, 4, 6, 7, 8}",True,585,13,0.0029947757720947266
11,12.5,6,75.0,8,,False,18,1,0.0
11,25.0,13,75.0,8,,False,25,1,0.0010001659393310547
11,50.0,27,75.0,8,"{0, 1, 3, 4, 7, 8, 9, 10}",True,43,1,0.0
11,75.0,41,75.0,8,"{1, 2, 3, 4, 6, 7, 8, 10}",True,222,4,0.0015134811401367188
12,12.5,8,75.0,9,,False,18,1,0.0
12,25.0,16,75.0,9,,False,26,1,0.0015070438385009766
12,50.0,33,75.0,9,,False,49,1,0.0009925365447998047
12,75.0,49,75.0,9,"{1, 2, 3, 4, 6, 7, 9, 10, 11}",True,652,10,0.0045320987701416016
13,12.5,9,75.0,9,,False,21,1,0.0
13,25.0,19,75.0,9,"{0, 2, 4, 5, 7, 8, 9, 10, 11}",True,37,1,0.000995635986328125
13,50.0,39,75.0,9,"{1, 2, 3, 4, 5, 9, 10, 11, 12}",True,57,1,0.0009925365447998047
13,75.0,58,75.0,9,,False,722237,10000,3.324031352996826
14,12.5,11,75.0,10,,False,23,1,0.0
14,25.0,22,75.0,10,,False,38,1,0.0009968280792236328
14,50.0,45,75.0,10,"{1, 2, 3, 4, 6, 7, 9, 10, 11, 13}",True,129,2,0.0005056858062744141
14,75.0,68,75.0,10,,False,842502,10000,3.8270745277404785
15,12.5,13,75.0,11,,False,27,1,0.0
15,25.0,26,75.0,11,,False,42,1,0.0
15,50.0,52,75.0,11,,False,285,4,0.001001119613647461
15,75.0,78,75.0,11,"{1, 2, 3, 4, 6, 7, 9, 10, 11, 13, 14}",True,1645,17,0.00602269172668457
16,12.5,15,75.0,12,,False,29,1,0.0
16,25.0,30,75.0,12,,False,50,1,0.0
16,50.0,60,75.0,12,"{0, 1, 2, 4, 5, 6, 7, 9, 11, 12, 13, 14}",True,84,1,0.0
16,75.0,90,75.0,12,,False,1102020,10000,4.981649398803711
17,12.5,17,75.0,12,,False,31,1,0.0009999275207519531
17,25.0,34,75.0,12,"{0, 3, 4, 5, 7, 8, 9, 10, 12, 14, 15, 16}",True,115,2,0.0009992122650146484
17,50.0,68,75.0,12,"{0, 2, 3, 5, 6, 7, 9, 11, 12, 13, 14, 16}",True,894,10,0.0050258636474609375
17,75.0,102,75.0,12,,False,1197409,10000,5.107898235321045
18,12.5,19,75.0,13,,False,37,1,0.0
18,25.0,38,75.0,13,,False,62,1,0.0
18,50.0,76,75.0,13,"{0, 2, 3, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15}",True,3070,31,0.015621423721313477
18,75.0,114,75.0,13,,False,1336068,10000,5.654639482498169
19,12.5,21,75.0,14,,False,43,1,0.0
19,25.0,42,75.0,14,,False,66,1,0.0010075569152832031
19,50.0,85,75.0,14,"{1, 2, 3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16}",True,993,9,0.004996299743652344
19,75.0,128,75.0,14,,False,1494890,10000,6.403046607971191
20,12.5,23,75.0,15,,False,45,1,0.0015621185302734375
20,25.0,47,75.0,15,,False,75,1,0.0
20,50.0,95,75.0,15,"{0, 1, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 16, 18, 19}",True,855,7,0.0035719871520996094
20,75.0,142,75.0,15,,False,1657615,10000,9.074256420135498
21,12.5,26,75.0,15,,False,50,1,0.0019135475158691406
21,25.0,52,75.0,15,,False,80,1,0.0020062923431396484
21,50.0,105,75.0,15,,False,1302175,10000,6.551728010177612
21,75.0,157,75.0,15,,False,1770541,10000,7.518091440200806
22,12.5,28,75.0,16,,False,52,1,0.001007080078125
22,25.0,57,75.0,16,"{0, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16, 19, 20, 21}",True,177,2,0.001512765884399414
