num_vertices,edge_percentage,num_edges,k_percentage,k,vertex_cover,is_vertex_cover,num_operations,num_solutions_tested,time
4,12.5,0,25.0,1,set(),True,0,1,0.0
4,25.0,1,25.0,1,{1},True,3,1,0.0
4,50.0,3,25.0,1,,False,4,1,0.0
4,75.0,4,25.0,1,,False,4,1,0.0
5,12.5,1,25.0,1,{2},True,3,1,0.0025522708892822266
5,25.0,2,25.0,1,,False,3,1,0.0
5,50.0,5,25.0,1,,False,4,1,0.0
5,75.0,7,25.0,1,,False,6,1,0.0
6,12.5,1,25.0,1,{5},True,3,1,0.0
6,25.0,3,25.0,1,,False,4,1,0.0
6,50.0,7,25.0,1,,False,4,1,0.0
6,75.0,11,25.0,1,,False,5,1,0.0
7,12.5,2,25.0,1,{5},True,4,1,0.0
7,25.0,5,25.0,1,,False,5,1,0.0
7,50.0,10,25.0,1,,False,6,1,0.0
7,75.0,15,25.0,1,,False,6,1,0.0
8,12.5,3,25.0,2,,False,6,2,0.0
8,25.0,7,25.0,2,,False,8,2,0.0
8,50.0,14,25.0,2,,False,11,2,0.0
8,75.0,21,25.0,2,,False,14,2,0.0
9,12.5,4,25.0,2,,False,6,2,0.0010039806365966797
9,25.0,9,25.0,2,,False,10,2,0.0
9,50.0,18,25.0,2,,False,13,2,0.0
9,75.0,27,25.0,2,,False,15,2,0.0
10,12.5,5,25.0,2,,False,7,2,0.0
10,25.0,11,25.0,2,,False,8,2,0.0
10,50.0,22,25.0,2,,False,14,2,0.0
10,75.0,33,25.0,2,,False,18,2,0.0
11,12.5,6,25.0,2,,False,7,2,0.0
11,25.0,13,25.0,2,,False,10,2,0.0
11,50.0,27,25.0,2,,False,13,2,0.0
11,75.0,41,25.0,2,,False,16,2,0.0
12,12.5,8,25.0,3,,False,10,3,0.0
12,25.0,16,25.0,3,,False,17,3,0.0
12,50.0,33,25.0,3,,False,23,3,0.0
12,75.0,49,25.0,3,,False,27,3,0.0010042190551757812
13,12.5,9,25.0,3,,False,10,3,0.0
13,25.0,19,25.0,3,,False,15,3,0.0
13,50.0,39,25.0,3,,False,23,3,0.0
13,75.0,58,25.0,3,,False,26,3,0.0
14,12.5,11,25.0,3,,False,11,3,0.0
14,25.0,22,25.0,3,,False,17,3,0.0010440349578857422
14,50.0,45,25.0,3,,False,23,3,0.0005083084106445312
14,75.0,68,25.0,3,,False,37,3,0.001010894775390625
15,12.5,13,25.0,3,,False,11,3,0.0
15,25.0,26,25.0,3,,False,18,3,0.0
15,50.0,52,25.0,3,,False,28,3,0.0
15,75.0,78,25.0,3,,False,37,3,0.0
16,12.5,15,25.0,4,,False,18,4,0.0
16,25.0,30,25.0,4,,False,28,4,0.0
16,50.0,60,25.0,4,,False,39,4,0.0010051727294921875
16,75.0,90,25.0,4,,False,48,4,0.0
17,12.5,17,25.0,4,,False,16,4,0.00048351287841796875
17,25.0,34,25.0,4,,False,27,4,0.0
17,50.0,68,25.0,4,,False,37,4,0.0010006427764892578
17,75.0,102,25.0,4,,False,53,4,0.0
18,12.5,19,25.0,4,,False,16,4,0.0
18,25.0,38,25.0,4,,False,30,4,0.0010027885437011719
18,50.0,76,25.0,4,,False,35,4,0.0
18,75.0,114,25.0,4,,False,56,4,0.0
19,12.5,21,25.0,4,,False,15,4,0.00099945068359375
19,25.0,42,25.0,4,,False,25,4,0.0005037784576416016
19,50.0,85,25.0,4,,False,43,4,0.0005342960357666016
19,75.0,128,25.0,4,,False,61,4,0.0015056133270263672
20,12.5,23,25.0,5,,False,26,5,0.0
20,25.0,47,25.0,5,,False,34,5,0.0
20,50.0,95,25.0,5,,False,56,5,0.0009996891021728516
20,75.0,142,25.0,5,,False,76,5,0.0
21,12.5,26,25.0,5,,False,23,5,0.0010018348693847656
21,25.0,52,25.0,5,,False,35,5,0.0
21,50.0,105,25.0,5,,False,57,5,0.0010013580322265625
21,75.0,157,25.0,5,,False,76,5,0.005998849868774414
22,12.5,28,25.0,5,,False,27,5,0.001009225845336914
22,25.0,57,25.0,5,,False,39,5,0.0
22,50.0,115,25.0,5,,False,60,5,0.0
22,75.0,173,25.0,5,,False,79,5,0.00099945068359375
23,12.5,31,25.0,5,,False,24,5,0.0
23,25.0,63,25.0,5,,False,46,5,0.0
23,50.0,126,25.0,5,,False,67,5,0.004011392593383789
23,75.0,189,25.0,5,,False,85,5,0.001008749008178711
24,12.5,34,25.0,6,,False,31,6,0.0005042552947998047
24,25.0,69,25.0,6,,False,52,6,0.0
24,50.0,138,25.0,6,,False,84,6,0.0010018348693847656
24,75.0,207,25.0,6,,False,109,6,0.0
25,12.5,37,25.0,6,,False,34,6,0.0
25,25.0,75,25.0,6,,False,52,6,0.0
25,50.0,150,25.0,6,,False,83,6,0.0015096664428710938
25,75.0,225,25.0,6,,False,112,6,0.0009984970092773438
26,12.5,40,25.0,6,,False,35,6,0.0
26,25.0,81,25.0,6,,False,45,6,0.000995635986328125
26,50.0,162,25.0,6,,False,84,6,0.0
26,75.0,243,25.0,6,,False,119,6,0.0015108585357666016
27,12.5,43,25.0,6,,False,38,6,0.0008189678192138672
27,25.0,87,25.0,6,,False,52,6,0.0005171298980712891
27,50.0,175,25.0,6,,False,86,6,0.001146078109741211
27,75.0,263,25.0,6,,False,125,6,0.0019998550415039062
28,12.5,47,25.0,7,,False,39,7,0.0015137195587158203
28,25.0,94,25.0,7,,False,62,7,0.0
28,50.0,189,25.0,7,,False,93,7,0.0010597705841064453
28,75.0,283,25.0,7,,False,143,7,0.0015060901641845703
29,12.5,50,25.0,7,,False,46,7,0.0010559558868408203
29,25.0,101,25.0,7,,False,66,7,0.0005176067352294922
29,50.0,203,25.0,7,,False,104,7,0.0015099048614501953
29,75.0,304,25.0,7,,False,143,7,0.0010013580322265625
30,12.5,54,25.0,7,,False,49,7,0.00099945068359375
30,25.0,108,25.0,7,,False,64,7,0.0009996891021728516
30,50.0,217,25.0,7,,False,104,7,0.0009984970092773438
30,75.0,326,25.0,7,,False,154,7,0.0010471343994140625
31,12.5,58,25.0,7,,False,40,7,0.0005331039428710938
31,25.0,116,25.0,7,,False,65,7,0.0
31,50.0,232,25.0,7,,False,107,7,0.0010061264038085938
31,75.0,348,25.0,7,,False,156,7,0.0009987354278564453
32,12.5,62,25.0,8,,False,46,8,0.0
32,25.0,124,25.0,8,,False,69,8,0.0
32,50.0,248,25.0,8,,False,124,8,0.00099945068359375
32,75.0,372,25.0,8,,False,176,8,0.007227420806884766
33,12.5,66,25.0,8,,False,55,8,0.0
33,25.0,132,25.0,8,,False,79,8,0.0
33,50.0,264,25.0,8,,False,131,8,0.001003265380859375
33,75.0,396,25.0,8,,False,181,8,0.00200653076171875
34,12.5,70,25.0,8,,False,62,8,0.0
34,25.0,140,25.0,8,,False,80,8,0.0
34,50.0,280,25.0,8,,False,125,8,0.002001047134399414
34,75.0,420,25.0,8,,False,192,8,0.0030062198638916016
35,12.5,74,25.0,8,,False,58,8,0.0
35,25.0,148,25.0,8,,False,89,8,0.0
35,50.0,297,25.0,8,,False,149,8,0.0015063285827636719
35,75.0,446,25.0,8,,False,195,8,0.0020003318786621094
36,12.5,78,25.0,9,,False,55,9,0.0
36,25.0,157,25.0,9,,False,97,9,0.0009961128234863281
36,50.0,315,25.0,9,,False,166,9,0.0005049705505371094
36,75.0,472,25.0,9,,False,231,9,0.006011247634887695
37,12.5,83,25.0,9,,False,67,9,0.0
37,25.0,166,25.0,9,,False,101,9,0.0009996891021728516
37,50.0,333,25.0,9,,False,165,9,0.0019867420196533203
37,75.0,499,25.0,9,,False,243,9,0.0015039443969726562
38,12.5,87,25.0,9,,False,67,9,0.0
38,25.0,175,25.0,9,,False,102,9,0.0010063648223876953
38,50.0,351,25.0,9,,False,165,9,0.0009982585906982422
38,75.0,527,25.0,9,,False,243,9,0.002004861831665039
39,12.5,92,25.0,9,,False,65,9,0.0010056495666503906
39,25.0,185,25.0,9,,False,99,9,0.0009982585906982422
39,50.0,370,25.0,9,,False,179,9,0.0010001659393310547
39,75.0,555,25.0,9,,False,258,9,0.0009989738464355469
40,12.5,97,25.0,10,,False,73,10,0.0
40,25.0,195,25.0,10,,False,103,10,0.000995635986328125
40,50.0,390,25.0,10,,False,197,10,0.007033348083496094
40,75.0,585,25.0,10,,False,286,10,0.0019991397857666016
41,12.5,102,25.0,10,,False,77,10,0.000997304916381836
41,25.0,205,25.0,10,,False,117,10,0.001005411148071289
41,50.0,410,25.0,10,,False,199,10,0.0020029544830322266
41,75.0,615,25.0,10,,False,291,10,0.0015094280242919922
42,12.5,107,25.0,10,,False,68,10,0.001506805419921875
42,25.0,215,25.0,10,,False,113,10,0.002000570297241211
42,50.0,430,25.0,10,,False,210,10,0.0020079612731933594
42,75.0,645,25.0,10,,False,301,10,0.003514528274536133
43,12.5,112,25.0,10,,False,78,10,0.0011873245239257812
43,25.0,225,25.0,10,,False,120,10,0.004538297653198242
43,50.0,451,25.0,10,,False,213,10,0.0019931793212890625
43,75.0,677,25.0,10,,False,306,10,0.002690553665161133
44,12.5,118,25.0,11,,False,87,11,0.006508827209472656
44,25.0,236,25.0,11,,False,127,11,0.0010113716125488281
44,50.0,473,25.0,11,,False,235,11,0.002504110336303711
44,75.0,709,25.0,11,,False,347,11,0.0029969215393066406
45,12.5,123,25.0,11,,False,67,11,0.0
45,25.0,247,25.0,11,,False,138,11,0.0010056495666503906
45,50.0,495,25.0,11,,False,239,11,0.0021076202392578125
45,75.0,742,25.0,11,,False,356,11,0.002501249313354492
46,12.5,129,25.0,11,,False,70,11,0.0010001659393310547
46,25.0,258,25.0,11,,False,133,11,0.0009949207305908203
46,50.0,517,25.0,11,,False,252,11,0.0019986629486083984
46,75.0,776,25.0,11,,False,354,11,0.001997709274291992
47,12.5,135,25.0,11,,False,86,11,0.0010008811950683594
47,25.0,270,25.0,11,,False,130,11,0.001998424530029297
47,50.0,540,25.0,11,,False,245,11,0.001512289047241211
47,75.0,810,25.0,11,,False,357,11,0.003014802932739258
48,12.5,141,25.0,12,,False,102,12,0.0009989738464355469
48,25.0,282,25.0,12,,False,151,12,0.0015044212341308594
48,50.0,564,25.0,12,,False,283,12,0.0025124549865722656
48,75.0,846,25.0,12,,False,397,12,0.002965688705444336
49,12.5,147,25.0,12,,False,111,12,0.0010001659393310547
49,25.0,294,25.0,12,,False,155,12,0.0010066032409667969
49,50.0,588,25.0,12,,False,289,12,0.0021789073944091797
49,75.0,882,25.0,12,,False,423,12,0.002001047134399414
50,12.5,153,25.0,12,,False,97,12,0.0010046958923339844
50,25.0,306,25.0,12,,False,152,12,0.0009984970092773438
50,50.0,612,25.0,12,,False,291,12,0.0030019283294677734
