num_vertices,12.5,25.0,50.0,75.0
4,0,3,9,8
5,3,6,11,13
6,3,7,15,19
7,4,13,20,25
8,7,13,24,33
9,10,17,30,370628
10,13,21,106,92
11,16,25,41,330
12,20,32,49,133
13,21,31,112,722144
14,25,36,65,842683
15,29,46,219,8110
16,31,50,329,1102227
17,31,113,889,1197278
18,35,64,2191,1336025
19,39,66,330,1495042
20,47,77,976,1657407
21,50,80,1301576,1770416
22,52,89,53160,1949540
23,55,93,33627,2128259
24,60,103,1688173,2330252
25,67,111,1782226,2468142
26,74,235,1923349,2667552
27,77,375,615335,2888575
28,83,268,2230900,3106798
29,82,281,2333582,3264454
30,88,298,2501530,3505801
31,100,483,2672936,3748307
32,104,2880,2846819,4002951
